"drama","character","corpus","scenes","actives","passives","presence","Speaker.figure_surface","nfig","length","V1","lastAct","tokens","types","utterances","utteranceLengthMean","utteranceLengthSd","firstBegin","lastEnd","TTR","Liebe","Familie","Krieg","Ratio","Religion","T1","T2","T3","T4","T5","T6","T7","T8","T9","T10","degree","wdegree","between","close","eigen","type"
"n750.0","lottchen","qd",53,25,23,0.0377358490566038,"LOTTCHEN",8,27686,"n750.0","1",6939,1385,139,49.9208633093525,37.3737613818707,385,145767,19.9596483643176,0.000167331187651118,9.64285411527343e-05,2.10731251036662e-05,4.84995621182392e-05,1.37687564885265e-05,0.492052360916316,0.00280504908835905,0.308555399719495,0.018700327255727,0.00233754090696587,0.00818139317438055,0.00210378681626928,0.0119214586255259,0.00163627863487611,0.151706404862085,1,46,0.0793650793650794,0.388888888888889,1,"daughter"
"n750.0","siegmund","qd",53,15,13,0.0377358490566038,"SIEGMUND",8,27686,"n750.0","1",2117,629,62,34.1451612903226,32.4471053922259,6883,144388,29.7118564005668,0.000178449587991392,6.94656700658535e-05,2.45095854760653e-05,6.58587987355111e-05,2.10609292683734e-05,0.465848042977744,0.00613967766692249,0.300844205679202,0.0138142747505756,0.00767459708365311,0.0115118956254797,0.00613967766692249,0.0191864927091328,0.0069071373752878,0.161933998465081,1,32,0.0396825396825397,0.35,0.757321982571548,"schemer"
"n750.0","siegmund","qd",53,15,13,0.0377358490566038,"SIEGMUND",8,27686,"n750.0","1",2117,629,62,34.1451612903226,32.4471053922259,6883,144388,29.7118564005668,0.000178449587991392,6.94656700658535e-05,2.45095854760653e-05,6.58587987355111e-05,2.10609292683734e-05,0.465848042977744,0.00613967766692249,0.300844205679202,0.0138142747505756,0.00767459708365311,0.0115118956254797,0.00613967766692249,0.0191864927091328,0.0069071373752878,0.161933998465081,1,32,0.0396825396825397,0.35,0.757321982571548,"lover"
"n750.0","simon","qd",53,11,11,0,"SIMON",8,27686,"n750.0","1",1794,586,47,38.1702127659574,26.612614816005,61406,145480,32.6644370122631,0.000154837111358851,0.000118860253131353,2.62930943816916e-05,5.35974616242175e-05,7.1008102024441e-06,0.452484742807323,0.004359197907585,0.333914559721011,0.021795989537925,0.00523103748910201,0.019180470793374,0.00697471665213601,0.014821272885789,0.00959023539668701,0.131647776809067,1,23,0.126984126984127,0.4375,0.559655518387332,"confidant"
"nks0.0","arsene","qd",31,5,7,-0.0645161290322581,"ARSENE",11,18507,"nks0.0","0",2452,896,27,90.8148148148148,60.8358681125111,32451,97658,36.5415986949429,0.000124614826898677,7.19700604548508e-05,9.61864015512943e-05,4.5096624419626e-05,1.55858729647448e-05,0.317331670822943,0.00872817955112219,0.104738154613466,0.103491271820449,0.00561097256857855,0.0317955112219451,0.0043640897755611,0.301122194513716,0.00498753117206983,0.11783042394015,0.7,10,0.218888888888889,0.5,0.400083302457563,"daughter"
"nks0.0","arsene","qd",31,5,7,-0.0645161290322581,"ARSENE",11,18507,"nks0.0","0",2452,896,27,90.8148148148148,60.8358681125111,32451,97658,36.5415986949429,0.000124614826898677,7.19700604548508e-05,9.61864015512943e-05,4.5096624419626e-05,1.55858729647448e-05,0.317331670822943,0.00872817955112219,0.104738154613466,0.103491271820449,0.00561097256857855,0.0317955112219451,0.0043640897755611,0.301122194513716,0.00498753117206983,0.11783042394015,0.7,10,0.218888888888889,0.5,0.400083302457563,"monarch"
"nks0.0","cäsar","qd",31,6,1,0.161290322580645,"CÄSAR",11,18507,"nks0.0","0",2102,804,32,65.6875,67.50839254875,71758,107665,38.2492863939106,0.000105719420657575,2.09884143952538e-05,0.000139130746997469,4.80311790968309e-05,2.72715702970177e-05,0.342553191489362,0.00425531914893617,0.0645390070921986,0.126950354609929,0.00921985815602837,0.0553191489361702,0.00638297872340425,0.282978723404255,0.0049645390070922,0.102836879432624,0.6,10,0.118888888888889,0.454545454545455,0.44139462721731,"tyrant"
"nks0.0","cäsar","qd",31,6,1,0.161290322580645,"CÄSAR",11,18507,"nks0.0","0",2102,804,32,65.6875,67.50839254875,71758,107665,38.2492863939106,0.000105719420657575,2.09884143952538e-05,0.000139130746997469,4.80311790968309e-05,2.72715702970177e-05,0.342553191489362,0.00425531914893617,0.0645390070921986,0.126950354609929,0.00921985815602837,0.0553191489361702,0.00638297872340425,0.282978723404255,0.0049645390070922,0.102836879432624,0.6,10,0.118888888888889,0.454545454545455,0.44139462721731,"lover"
"nks0.0","cato","qd",31,13,12,0.032258064516129,"CATO",11,18507,"nks0.0","1",6281,1745,75,83.7466666666667,90.6287486953786,36444,126462,27.7822002865786,6.89911372923632e-05,6.43865251880087e-05,7.50992060511936e-05,6.50619083193514e-05,2.9408275082977e-05,0.341639671069026,0.00274109145277847,0.0630451034139048,0.130575629205083,0.00224271118863693,0.0667829553949664,0.00548218290555694,0.302267630201844,0.00224271118863693,0.0829803139795664,0.9,25,0.182777777777778,0.4,1,"republican"
"nks0.0","cato","qd",31,13,12,0.032258064516129,"CATO",11,18507,"nks0.0","1",6281,1745,75,83.7466666666667,90.6287486953786,36444,126462,27.7822002865786,6.89911372923632e-05,6.43865251880087e-05,7.50992060511936e-05,6.50619083193514e-05,2.9408275082977e-05,0.341639671069026,0.00274109145277847,0.0630451034139048,0.130575629205083,0.00224271118863693,0.0667829553949664,0.00548218290555694,0.302267630201844,0.00224271118863693,0.0829803139795664,0.9,25,0.182777777777778,0.4,1,"father"
"nks0.0","pharnaces","qd",31,7,6,0.032258064516129,"PHARNACES",11,18507,"nks0.0","0",1962,773,28,70.0714285714286,85.6746336854898,48863,91377,39.3985728848114,3.96420885717522e-05,3.74767644060682e-05,0.000108187640643933,4.16568650513605e-05,9.73918463546232e-06,0.328185328185328,0.00849420849420849,0.0478764478764479,0.164478764478764,0.00694980694980695,0.0424710424710425,0.00386100386100386,0.294980694980695,0.00386100386100386,0.0988416988416988,0.5,8,0.077037037037037,0.384615384615385,0.283976565452216,"schemer"
"nks0.0","phokas","qd",31,7,5,0.0645161290322581,"PHOKAS",11,18507,"nks0.0","1",859,432,16,53.6875,48.7889587919234,40925,126654,50.291036088475,1.29349372655543e-05,5.13593097308772e-05,7.13862103806532e-05,2.79842392764395e-05,2.96597287617805e-05,0.345955249569707,0.0172117039586919,0.0430292598967298,0.132530120481928,0.0189328743545611,0.0688468158347676,0.0189328743545611,0.271944922547332,0.0120481927710843,0.0705679862306368,0.6,15,0.0255555555555556,0.344827586206897,0.704642324317934,"servant"
"nks0.0","porcius","qd",31,10,7,0.0967741935483871,"PORCIUS",11,18507,"nks0.0","1",1070,484,29,36.8965517241379,30.946203122269,64525,126829,45.2336448598131,6.74974039460021e-05,0.000144310060472787,7.9351084464821e-05,4.49317038102085e-06,0,0.282453637660485,0.0199714693295292,0.072753209700428,0.112696148359486,0.0156918687589158,0.0570613409415121,0.021398002853067,0.312410841654779,0.00855920114122682,0.0970042796005706,0.8,21,0.158518518518519,0.4,0.923494287199469,"son"
"nks0.0","porcius","qd",31,10,7,0.0967741935483871,"PORCIUS",11,18507,"nks0.0","1",1070,484,29,36.8965517241379,30.946203122269,64525,126829,45.2336448598131,6.74974039460021e-05,0.000144310060472787,7.9351084464821e-05,4.49317038102085e-06,0,0.282453637660485,0.0199714693295292,0.072753209700428,0.112696148359486,0.0156918687589158,0.0570613409415121,0.021398002853067,0.312410841654779,0.00855920114122682,0.0970042796005706,0.8,21,0.158518518518519,0.4,0.923494287199469,"citizen"
